Session,Hip,PropertyLine1,PropertyLine2,Description,DOB,Color,Sex,Sire,Dam,CoveringSire,LastService,Pregnancy,SoldAs,Purchaser,Price
3,0796,"Bluewater Sales LLC, Agent XIII","","Party Lights","03/12/2017","CH",Filly,"Carpe Diem","Lady Zeva","","","","Racing or Broodmare Prospect","Out",0
3,0797,"Denali Stud, Agent XIV","","Passeporta","03/11/2009","GR/RO",Mare,"Rockport Harbor","Bay Barrister","Super Saver","04/29/2019","pregnant","Broodmare","Exclusive Equine Investments",6000
3,0798,"Denali Stud, Agent XIV","","Speightster --- Passeporta","03/11/2019","DB/BR",Filly,"Speightster","Passeporta","","","","Yearling","Buena Madera",20000
3,0799,"Taylor Made Sales Agency, Agent CII","","Pass the Bar","03/29/2016","B",Filly,"Lemon Drop Kid","Absolute Patience","","","","Racing or Broodmare Prospect","*RNA (29,000)",---
3,0800,"Bluewater Sales LLC, Agent XI","","Patty Ann","02/03/2016","DB/BR",Mare,"Hard Spun","Readyforhercloseup","Klimt","04/17/2019","pregnant","Broodmare","Eugenio Zegers",12000
3,0801,"Forbush Farm","","Oxbow --- Peaceful Splendor","04/04/2019","B",Colt,"Oxbow","Peaceful Splendor","","","","Yearling","*RNA (4,500)",---
3,0802,"Buckland Sales (Zach Madden), Agent IV","","Perdona","03/21/2012","B",Mare,"Blame","Exhilaration","","","not mated","Broodmare","Sabrina Moore",14000
3,0803,"Buckland Sales (Zach Madden), Agent IV","","Vancouver (AUS) --- Perdona","04/05/2019","DB/BR",Colt,"Vancouver (AUS)","Perdona","","","","Yearling","Out",0
3,0804,"Taylor Made Sales Agency, Agent L","","Perfect Meadow","02/23/2009","CH",Mare,"Touch Tone","Open Meadows","Midnight Lute","04/19/2019","pregnant","Broodmare","John H. Mulholland",30000
3,0805,"Blake-Albina Thoroughbred Services LLC, Agent I","","Pins and Needles","04/17/2015","B",Mare,"Giant's Causeway","Coquihalla","","","","Racing or Broodmare Prospect","Out",0
3,0806,"Taylor Made Sales Agency, Agent VII","","Pissarro","03/12/2005","B",Mare,"Empire Maker","Miss Legality","Connect","05/19/2019","pregnant","Broodmare","Chad Schumer, Agent",9000
3,0807,"Shawhan Place LLC, Agent III","","Cross Traffic --- Play With Kitten","04/04/2019","B",Colt,"Cross Traffic","Play With Kitten","","","","Yearling","*RNA (7,000)",---
3,0808,"Taylor Made Sales Agency, Agent XLVII","","Astern (AUS) --- Pleasant Wind","03/24/2019","B",Colt,"Astern (AUS)","Pleasant Wind","","","","Yearling","Buena Madera",17000
3,0809,"Hill 'n' Dale Sales Agency, Agent","","Popover","03/16/2012","B",Mare,"Lookin At Lucky","Starboard Tack","","","not mated","Broodmare","Out",0
3,0810,"St George Sales, Agent IV","","Pray for Grace","05/17/2007","DB/BR",Mare,"Songandaprayer","Coragil","Lea","03/06/2019","pregnant","Broodmare","Erin Fisher",2500
3,0811,"Taylor Made Sales Agency, Agent for Irving Cowan","","Precious Humor","04/18/2014","B",Mare,"War Front","Precious Soul","Goldencents","04/02/2019","pregnant","Broodmare","Out",0
3,0812,"Taylor Made Sales Agency, Agent VIII","","Blame --- Princely Sum","03/20/2019","B",Filly,"Blame","Princely Sum","","","","Yearling","*RNA (20,000)",---
3,0813,"Hunter Valley Farm, Agent","","Overanalyze --- Princess Addy","03/07/2019","B",Colt,"Overanalyze","Princess Addy","","","","Yearling","Monarch Farms, LLC",3000
3,0814,"ELiTE, Agent","","Princesschope (FR)","02/15/2015","B",Mare,"Panis","Irish Chope (FR)","","","","Racing or Broodmare Prospect","Chad Schumer, Agent",22000
3,0815,"ELiTE, Agent","","Prisoner's Dilemma","02/23/2015","DB/BR",Mare,"Blame","Silence Please","","","","Racing or Broodmare Prospect","South Florida Thoroughbreds",15000
